case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
1,case_000001.pdb,0;1;2,0:C1:C;1:C2:C;2:Cl1:Cl,C-C-Cl,5;6;7,5:C4:C;6:O2:O;7:C5:C,C-O-C,3
16,case_000016.pdb,1;3;4,1:C2:C;3:C3:C;4:O1:O,C-C-O,8;9;10,8:C6:C;9:N1:N;10:C7:C,C-N-C,3
17,case_000017.pdb,1;3;4,1:C2:C;3:C3:C;4:O1:O,C-C-O,9;10;11,9:N1:N;10:C7:C;11:N2:N,N-C-N,4
18,case_000018.pdb,1;3;4,1:C2:C;3:C3:C;4:O1:O,C-C-O,9;10;14,9:N1:N;10:C7:C;14:C10:C,N-C-C,4
19,case_000019.pdb,1;3;4,1:C2:C;3:C3:C;4:O1:O,C-C-O,10;11;12,10:C7:C;11:N2:N;12:C8:C,C-N-C,5
20,case_000020.pdb,1;3;4,1:C2:C;3:C3:C;4:O1:O,C-C-O,10;11;14,10:C7:C;11:N2:N;14:C10:C,C-N-C,4
21,case_000021.pdb,1;3;4,1:C2:C;3:C3:C;4:O1:O,C-C-O,11;12;13,11:N2:N;12:C8:C;13:C9:C,N-C-C,5
22,case_000022.pdb,3;4;5,3:C3:C;4:O1:O;5:C4:C,C-O-C,9;10;11,9:N1:N;10:C7:C;11:N2:N,N-C-N,3
23,case_000023.pdb,3;4;5,3:C3:C;4:O1:O;5:C4:C,C-O-C,9;10;14,9:N1:N;10:C7:C;14:C10:C,N-C-C,3
24,case_000024.pdb,3;4;5,3:C3:C;4:O1:O;5:C4:C,C-O-C,10;11;12,10:C7:C;11:N2:N;12:C8:C,C-N-C,4
25,case_000025.pdb,3;4;5,3:C3:C;4:O1:O;5:C4:C,C-O-C,10;11;14,10:C7:C;11:N2:N;14:C10:C,C-N-C,3
26,case_000026.pdb,3;4;5,3:C3:C;4:O1:O;5:C4:C,C-O-C,11;12;13,11:N2:N;12:C8:C;13:C9:C,N-C-C,4
27,case_000027.pdb,4;5;6,4:O1:O;5:C4:C;6:O2:O,O-C-O,9;10;11,9:N1:N;10:C7:C;11:N2:N,N-C-N,3
28,case_000028.pdb,4;5;6,4:O1:O;5:C4:C;6:O2:O,O-C-O,9;10;14,9:N1:N;10:C7:C;14:C10:C,N-C-C,3
29,case_000029.pdb,4;5;6,4:O1:O;5:C4:C;6:O2:O,O-C-O,10;11;12,10:C7:C;11:N2:N;12:C8:C,C-N-C,4
30,case_000030.pdb,4;5;6,4:O1:O;5:C4:C;6:O2:O,O-C-O,10;11;14,10:C7:C;11:N2:N;14:C10:C,C-N-C,3
31,case_000031.pdb,4;5;6,4:O1:O;5:C4:C;6:O2:O,O-C-O,11;12;13,11:N2:N;12:C8:C;13:C9:C,N-C-C,4
32,case_000032.pdb,4;5;7,4:O1:O;5:C4:C;7:C5:C,O-C-C,10;11;12,10:C7:C;11:N2:N;12:C8:C,C-N-C,3
33,case_000033.pdb,4;5;7,4:O1:O;5:C4:C;7:C5:C,O-C-C,11;12;13,11:N2:N;12:C8:C;13:C9:C,N-C-C,3
34,case_000034.pdb,5;6;7,5:C4:C;6:O2:O;7:C5:C,C-O-C,10;11;12,10:C7:C;11:N2:N;12:C8:C,C-N-C,3
35,case_000035.pdb,5;6;7,5:C4:C;6:O2:O;7:C5:C,C-O-C,11;12;13,11:N2:N;12:C8:C;13:C9:C,N-C-C,3
